################################################################## 
# Generated by FullSWOF_2D version 1.10.00, 2023-04-06
################################################################## 
# (i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]	 h[i][j]+z[i][j] 	 z[i][j] 	 norm_U[i][j] 	Fr[i][j] (Froude)	 qx[i][j]	 qy[i][j]	  q[i][j]
# 
# time : 0 seconds 
0.3	     10.5	      0.0	      0.0	      0.0	 -2.45962	 -2.45962	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     10.7	      0.0	      0.0	      0.0	 -2.48168	 -2.48168	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     10.9	      0.0	      0.0	      0.0	 -2.51202	 -2.51202	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     11.1	      0.0	      0.0	      0.0	 -2.55159	 -2.55159	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     11.3	      0.0	      0.0	      0.0	 -2.60092	 -2.60092	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     11.5	      0.0	      0.0	      0.0	 -2.66003	 -2.66003	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     11.7	      0.0	      0.0	      0.0	 -2.72847	 -2.72847	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     11.9	      0.0	      0.0	      0.0	 -2.80535	 -2.80535	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     12.1	      0.0	      0.0	      0.0	 -2.88933	 -2.88933	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     12.3	      0.0	      0.0	      0.0	 -2.97875	 -2.97875	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     12.5	      0.0	      0.0	      0.0	 -3.07168	 -3.07168	      0.0	      NaN	      0.0	      0.0	      0.0
0.3	     12.7	      0.0	      0.0	      0.0	   -3.166	   -3.166	      0.0	      NaN	      0.0	      0.0	      0.0

0.5	      0.1	      0.0	      0.0	      0.0	 0.180583	 0.180583	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      0.3	      0.0	      0.0	      0.0	 0.107206	 0.107206	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      0.5	      0.0	      0.0	      0.0	 0.026104	 0.026104	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      0.7	      0.0	      0.0	      0.0	-0.061197	-0.061197	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      0.9	      0.0	      0.0	      0.0	-0.152861	-0.152861	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      1.1	      0.0	      0.0	      0.0	-0.246843	-0.246843	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      1.3	      0.0	      0.0	      0.0	-0.340979	-0.340979	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      1.5	      0.0	      0.0	      0.0	-0.433102	-0.433102	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      1.7	      0.0	      0.0	      0.0	 -0.52114	 -0.52114	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      1.9	      0.0	      0.0	      0.0	-0.603225	-0.603225	      0.0	      NaN	      0.0	      0.0	      0.0
0.5	      2.1	      0.0	      0.0	      0.0	 -0.67778	 -0.67778	      0.0	      NaN	      0.0	      0.0	      0.0
